t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.0000,0.0000,120.4557,-135.2231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.8173,0.0000,109.2827
0.0100,0.0001,120.4557,-135.2229,0.0265,-0.0231,0.0598,5.2483,-4.5665,11.8413,122.8176,0.0002,109.2832
0.0200,0.0007,120.4551,-135.2215,0.1039,-0.0904,0.2344,10.1785,-8.8562,22.9649,122.8197,0.0015,109.2867
0.0300,0.0023,120.4537,-135.2178,0.2290,-0.1993,0.5168,14.7972,-12.8749,33.3855,122.8254,0.0050,109.2958
0.0400,0.0054,120.4510,-135.2108,0.3988,-0.3470,0.8998,19.1107,-16.6280,43.1178,122.8361,0.0116,109.3131
0.0500,0.0104,120.4467,-135.1995,0.6103,-0.5310,1.3769,23.1257,-20.1214,52.1763,122.8535,0.0224,109.3412
0.0600,0.0178,120.4403,-135.1830,0.8604,-0.7486,1.9412,26.8485,-23.3606,60.5758,122.8789,0.0381,109.3822
0.0700,0.0278,120.4316,-135.1604,1.1463,-0.9974,2.5862,30.2857,-26.3513,68.3308,122.9135,0.0596,109.4381
0.0800,0.0408,120.4202,-135.1310,1.4652,-1.2748,3.3057,33.4438,-29.0991,75.4561,122.9586,0.0876,109.5111
0.0900,0.0572,120.4060,-135.0941,1.8142,-1.5786,4.0933,36.3292,-31.6096,81.9662,123.0153,0.1227,109.6027
0.1000,0.0772,120.3886,-135.0490,2.1909,-1.9062,4.9430,38.9485,-33.8887,87.8759,123.0845,0.1658,109.7146
0.1100,0.1011,120.3678,-134.9950,2.5923,-2.2556,5.8489,41.3081,-35.9417,93.1997,123.1671,0.2173,109.8483
0.1200,0.1291,120.3434,-134.9318,3.0162,-2.6243,6.8051,43.4146,-37.7746,97.9523,123.2638,0.2777,110.0051
0.1300,0.1615,120.3153,-134.8588,3.4598,-3.0104,7.8061,45.2744,-39.3927,102.1484,123.3754,0.3477,110.1862
0.1400,0.1984,120.2832,-134.7756,3.9209,-3.4115,8.8463,46.8940,-40.8019,105.8026,123.5025,0.4276,110.3926
0.1500,0.2399,120.2470,-134.6818,4.3969,-3.8257,9.9204,48.2799,-42.0078,108.9295,123.6456,0.5178,110.6252
0.1600,0.2863,120.2066,-134.5771,4.8857,-4.2510,11.0232,49.4386,-43.0160,111.5438,123.8050,0.6187,110.8848
0.1700,0.3377,120.1619,-134.4612,5.3850,-4.6854,12.1496,50.3766,-43.8322,113.6601,123.9810,0.7307,111.1720
0.1800,0.3941,120.1129,-134.3340,5.8925,-5.1270,13.2947,51.1004,-44.4619,115.2932,124.1740,0.8540,111.4873
0.1900,0.4555,120.0594,-134.1953,6.4063,-5.5740,14.4539,51.6165,-44.9109,116.4575,124.3840,0.9890,111.8312
0.2000,0.5222,120.0014,-134.0449,6.9242,-6.0247,15.6224,51.9313,-45.1849,117.1678,124.6112,1.1357,112.2038
0.2100,0.5940,119.9389,-133.8828,7.4442,-6.4772,16.7958,52.0514,-45.2894,117.4388,124.8554,1.2945,112.6055
0.2200,0.6711,119.8718,-133.7090,7.9646,-6.9299,17.9697,51.9832,-45.2301,117.2850,125.1166,1.4655,113.0362
0.2300,0.7533,119.8003,-133.5234,8.4833,-7.3812,19.1401,51.7333,-45.0126,116.7211,125.3947,1.6488,113.4959
0.2400,0.8407,119.7242,-133.3262,8.9987,-7.8296,20.3028,51.3081,-44.6427,115.7618,125.6893,1.8445,113.9843
0.2500,0.9333,119.6437,-133.1174,9.5089,-8.2736,21.4541,50.7142,-44.1259,114.4217,126.0003,2.0526,114.5014
0.2600,1.0309,119.5588,-132.8972,10.0124,-8.7117,22.5901,49.9579,-43.4679,112.7155,126.3271,2.2732,115.0467
0.2700,1.1335,119.4695,-132.6657,10.5075,-9.1425,23.7072,49.0459,-42.6743,110.6577,126.6693,2.5063,115.6198
0.2800,1.2410,119.3759,-132.4231,10.9928,-9.5647,24.8021,47.9845,-41.7508,108.2631,127.0266,2.7518,116.2201
0.2900,1.3533,119.2782,-132.1697,11.4668,-9.9771,25.8714,46.7804,-40.7031,105.5463,127.3983,3.0097,116.8470
0.3000,1.4703,119.1764,-131.9058,11.9280,-10.3784,26.9120,45.4399,-39.5368,102.5219,127.7837,3.2799,117.4999
