t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.0000,0.0000,120.4557,-135.2231,0.0114,-0.0059,0.0191,3.3641,-1.7428,5.6168,98.0000,0.0000,157.0000
0.0100,0.0001,120.4557,-135.2229,0.0451,-0.0234,0.0753,6.6341,-3.4373,11.0771,98.0003,0.0002,157.0004
0.0200,0.0009,120.4553,-135.2216,0.1441,-0.0747,0.2406,12.9785,-6.7268,21.6740,98.0021,0.0015,157.0031
0.0300,0.0030,120.4542,-135.2181,0.3047,-0.1579,0.5088,18.9255,-9.8163,31.6162,98.0070,0.0051,157.0104
0.0400,0.0070,120.4521,-135.2114,0.5226,-0.2710,0.8730,24.4706,-12.7089,40.9040,98.0164,0.0120,157.0242
0.0500,0.0134,120.4488,-135.2006,0.7941,-0.4121,1.3268,29.6168,-15.4128,49.5527,98.0315,0.0230,157.0466
0.0600,0.0229,120.4439,-135.1849,1.1150,-0.5793,1.8640,34.3665,-17.9369,57.5776,98.0537,0.0391,157.0793
0.0700,0.0357,120.4372,-135.1633,1.4814,-0.7708,2.4784,38.7217,-20.2903,64.9942,98.0839,0.0612,157.1239
0.0800,0.0525,120.4285,-135.1353,1.8894,-0.9851,3.1639,42.6842,-22.4821,71.8179,98.1232,0.0899,157.1821
0.0900,0.0735,120.4175,-135.1001,2.3351,-1.2204,3.9147,46.2562,-24.5215,78.0642,98.1727,0.1260,157.2551
0.1000,0.0992,120.4040,-135.0570,2.8145,-1.4755,4.7252,49.4400,-26.4170,83.7486,98.2331,0.1701,157.3444
0.1100,0.1298,120.3880,-135.0056,3.3239,-1.7488,5.5897,52.2387,-28.1770,88.8866,98.3053,0.2228,157.4510
0.1200,0.1657,120.3691,-134.9452,3.8593,-2.0390,6.5029,54.6560,-29.8091,93.4932,98.3899,0.2845,157.5760
0.1300,0.2070,120.3472,-134.8755,4.4170,-2.3450,7.4596,56.6965,-31.3200,97.5837,98.4877,0.3558,157.7205
0.1400,0.2540,120.3222,-134.7960,4.9932,-2.6654,8.4546,58.3659,-32.7160,101.1730,98.5991,0.4371,157.8851
0.1500,0.3069,120.2939,-134.7064,5.5843,-2.9993,9.4830,59.6708,-34.0022,104.2759,98.7246,0.5288,158.0706
0.1600,0.3657,120.2622,-134.6064,6.1866,-3.3455,10.5401,60.6191,-35.1830,106.9070,98.8648,0.6310,158.2777
0.1700,0.4306,120.2270,-134.4956,6.7967,-3.7030,11.6212,61.2197,-36.2618,109.0807,99.0199,0.7442,158.5068
0.1800,0.5016,120.1881,-134.3739,7.4110,-4.0707,12.7217,61.4829,-37.2412,110.8112,99.1902,0.8685,158.7583
0.1900,0.5788,120.1456,-134.2412,8.0264,-4.4478,13.8374,61.4198,-38.1227,112.1126,99.3759,1.0040,159.0327
0.2000,0.6622,120.0992,-134.0972,8.6394,-4.8332,14.9640,61.0430,-38.9072,112.9986,99.5772,1.1509,159.3301
0.2100,0.7516,120.0489,-133.9419,9.2472,-5.2259,16.0974,60.3658,-39.5947,113.4826,99.7941,1.3092,159.6507
0.2200,0.8471,119.9947,-133.7752,9.8468,-5.6251,17.2336,59.4027,-40.1846,113.5782,100.0268,1.4790,159.9945
0.2300,0.9486,119.9364,-133.5972,10.4353,-6.0296,18.3689,58.1691,-40.6756,113.2984,100.2752,1.6603,160.3614
0.2400,1.0558,119.8741,-133.4079,11.0101,-6.4386,19.4996,56.6811,-41.0658,112.6561,100.5392,1.8529,160.7515
0.2500,1.1688,119.8076,-133.2072,11.5689,-6.8509,20.6221,54.9556,-41.3532,111.6640,100.8187,2.0569,161.1644
0.2600,1.2872,119.7370,-132.9954,12.1093,-7.2656,21.7329,53.0099,-41.5351,110.3347,101.1135,2.2720,161.6000
0.2700,1.4109,119.6623,-132.7726,12.6291,-7.6816,22.8288,50.8618,-41.6088,108.6803,101.4234,2.4981,162.0578
0.2800,1.5398,119.5834,-132.5388,13.1265,-8.0978,23.9065,48.5296,-41.5715,106.7130,101.7482,2.7351,162.5376
0.2900,1.6735,119.5004,-132.2944,13.5997,-8.5131,24.9630,46.0315,-41.4205,104.4447,102.0873,2.9826,163.0387
0.3000,1.8118,119.4132,-132.0396,14.0471,-8.9262,25.9954,43.3860,-41.1529,101.8872,102.4407,3.2404,163.5607
0.3100,1.9544,119.3218,-131.7745,14.4674,-9.3361,27.0008,40.6112,-40.7662,99.0521,102.8077,3.5082,164.1030
0.3200,2.1011,119.2264,-131.4996,14.8593,-9.7415,27.9764,37.7254,-40.2584,95.9508,103.1880,3.7858,164.6649
0.3300,2.2516,119.1270,-131.2150,15.2219,-10.1413,28.9198,34.7464,-39.6273,92.5946,103.5811,4.0726,165.2457
0.3400,2.4056,119.0236,-130.9212,15.5543,-10.5341,29.8283,31.6916,-38.8716,88.9947,103.9865,4.3684,165.8446
0.3500,2.5627,118.9163,-130.6184,15.8557,-10.9187,30.6997,28.5777,-37.9903,85.1624,104.4037,4.6728,166.4609
0.3600,2.7227,118.8052,-130.3072,16.1258,-11.2939,31.5316,25.4212,-36.9830,81.1086,104.8319,4.9853,167.0936
0.3700,2.8852,118.6904,-129.9878,16.3642,-11.6584,32.3218,22.2375,-35.8497,76.8444,105.2707,5.3055,167.7419
0.3800,3.0500,118.5721,-129.6607,16.5706,-12.0109,33.0685,19.0415,-34.5911,72.3807,105.7195,5.6330,168.4048
0.3900,3.2166,118.4502,-129.3264,16.7450,-12.3502,33.7695,15.8472,-33.2085,67.7287,106.1774,5.9671,169.0814
0.4000,3.3849,118.3251,-128.9853,16.8875,-12.6751,34.4230,12.6677,-31.7039,62.8992,106.6439,6.3075,169.7706
0.4100,3.5544,118.1967,-128.6380,16.9984,-12.9843,35.0274,9.5154,-30.0798,57.9034,107.1182,6.6537,170.4714
0.4200,3.7248,118.0654,-128.2848,17.0778,-13.2767,35.5811,6.4015,-28.3393,52.7525,107.5997,7.0050,171.1827
0.4300,3.8959,117.9312,-127.9263,17.1264,-13.5511,36.0825,3.3364,-26.4861,47.4578,108.0875,7.3609,171.9034
0.4400,4.0674,117.7944,-127.5631,17.1446,-13.8064,36.5303,0.3297,-24.5247,42.0306,108.5809,7.7210,172.6324
0.4500,4.2388,117.6551,-127.1957,17.1330,-14.0416,36.9231,-2.6102,-22.4598,36.4826,109.0792,8.0846,173.3685
