t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.0000,0.0000,120.4557,-135.2231,-0.0000,163.4167,79.3214,2.8778,-2576.6952,-206.5291,122.8173,0.0000,109.2827
0.0100,-0.0000,122.0899,-134.4299,0.0288,137.6497,77.2561,5.8194,-2361.7530,-256.0786,120.2165,0.0000,114.0307
0.0200,0.0003,123.4664,-133.6573,0.1164,116.1816,74.1998,11.6984,-1968.8561,-334.8763,117.8996,0.0006,118.3106
0.0300,0.0015,124.6282,-132.9153,0.2627,98.2726,70.5586,17.5210,-1644.6175,-378.7524,115.8357,0.0029,122.1702
0.0400,0.0041,125.6109,-132.2097,0.4668,83.2893,66.6248,23.1980,-1378.5188,-397.6419,113.9974,0.0081,125.6533
0.0500,0.0087,126.4438,-131.5435,0.7267,70.7022,62.6058,28.6535,-1160.6879,-398.9505,112.3613,0.0172,128.7993
0.0600,0.0160,127.1509,-130.9174,1.0399,60.0755,58.6458,33.8245,-982.4516,-388.1508,110.9064,0.0310,131.6442
0.0700,0.0264,127.7516,-130.3310,1.4032,51.0532,54.8427,38.6602,-836.4693,-369.2622,109.6145,0.0505,134.2205
0.0800,0.0404,128.2621,-129.7825,1.8131,43.3461,51.2605,43.1210,-716.6638,-345.2213,108.4697,0.0766,136.5576
0.0900,0.0586,128.6956,-129.2699,2.2656,36.7199,47.9383,47.1774,-618.0697,-318.1618,107.4580,0.1099,138.6819
0.1000,0.0812,129.0628,-128.7905,2.7566,30.9847,44.8973,50.8087,-536.6617,-289.6231,106.5669,0.1511,140.6174
0.1100,0.1088,129.3727,-128.3416,3.2818,25.9867,42.1459,54.0023,-469.1902,-260.7053,105.7856,0.2009,142.3856
0.1200,0.1416,129.6325,-127.9201,3.8367,21.6009,39.6832,56.7517,-413.0369,-232.1838,105.1043,0.2598,144.0061
0.1300,0.1800,129.8485,-127.5233,4.4168,17.7260,37.5022,59.0564,-366.0927,-204.5937,104.5144,0.3283,145.4964
0.1400,0.2242,130.0258,-127.1483,5.0178,14.2791,35.5913,60.9207,-326.6577,-178.2936,104.0084,0.4069,146.8722
0.1500,0.2743,130.1686,-126.7923,5.6352,11.1928,33.9363,62.3526,-293.3594,-153.5114,103.5794,0.4959,148.1476
0.1600,0.3307,130.2805,-126.4530,6.2649,8.4119,32.5211,63.3636,-265.0878,-130.3798,103.2213,0.5957,149.3355
0.1700,0.3933,130.3646,-126.1278,6.9025,5.8910,31.3287,63.9676,-240.9431,-108.9620,102.9287,0.7066,150.4473
