q1_deg,q2_deg,q3_deg
0.0000,120.4557,-135.2231
0.0001,120.4557,-135.2229
0.0007,120.4551,-135.2215
0.0023,120.4537,-135.2178
0.0054,120.4510,-135.2108
0.0104,120.4467,-135.1995
0.0178,120.4403,-135.1830
0.0278,120.4316,-135.1604
0.0408,120.4202,-135.1310
0.0572,120.4060,-135.0941
0.0772,120.3886,-135.0490
0.1011,120.3678,-134.9950
0.1291,120.3434,-134.9318
0.1615,120.3153,-134.8588
0.1984,120.2832,-134.7756
0.2399,120.2470,-134.6818
0.2863,120.2066,-134.5771
0.3377,120.1619,-134.4612
0.3941,120.1129,-134.3340
0.4555,120.0594,-134.1953
0.5222,120.0014,-134.0449
0.5940,119.9389,-133.8828
0.6711,119.8718,-133.7090
0.7533,119.8003,-133.5234
0.8407,119.7242,-133.3262
0.9333,119.6437,-133.1174
1.0309,119.5588,-132.8972
1.1335,119.4695,-132.6657
1.2410,119.3759,-132.4231
1.3533,119.2782,-132.1697
1.4703,119.1764,-131.9058
1.5918,119.0707,-131.6316
1.7178,118.9611,-131.3475
1.8479,118.8479,-131.0538
1.9821,118.7311,-130.7510
2.1203,118.6109,-130.4393
2.2621,118.4876,-130.1194
2.4073,118.3611,-129.7916
2.5559,118.2319,-129.4564
2.7075,118.0999,-129.1143
2.8620,117.9656,-128.7658
3.0190,117.8289,-128.4115
3.1785,117.6902,-128.0518
3.3400,117.5497,-127.6874
3.5033,117.4075,-127.3188
3.6683,117.2640,-126.9466
3.8346,117.1193,-126.5714
4.0020,116.9736,-126.1937
4.1702,116.8273,-125.8143
4.3389,116.6805,-125.4336
4.5079,116.5334,-125.0523
4.6769,116.3864,-124.6710
4.8457,116.2396,-124.2903
5.0139,116.0932,-123.9108
5.1812,115.9476,-123.5331
5.3475,115.8029,-123.1579
5.5125,115.6594,-122.7857
5.6759,115.5172,-122.4171
5.8374,115.3767,-122.0527
5.9968,115.2380,-121.6930
6.1539,115.1013,-121.3387
6.3083,114.9669,-120.9902
6.4599,114.8350,-120.6481
6.6085,114.7057,-120.3129
6.7538,114.5793,-119.9851
6.8956,114.4560,-119.6652
7.0337,114.3358,-119.3536
7.1679,114.2190,-119.0507
7.2981,114.1057,-118.7571
7.4240,113.9962,-118.4729
7.5455,113.8904,-118.1988
7.6625,113.7887,-117.9348
7.7748,113.6909,-117.6814
7.8823,113.5974,-117.4389
7.9850,113.5081,-117.2074
8.0826,113.4232,-116.9871
8.1751,113.3427,-116.7783
