t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.0000,0.0000,120.4557,-135.2231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.8173,0.0000,109.2827
0.0100,0.5222,120.0015,-134.0500,138.4835,-120.4583,311.0877,20772.5215,-18068.7417,46663.1519,124.6070,1.1357,112.1884
0.0200,2.8620,117.9663,-128.7939,311.5878,-271.0311,699.9473,10386.2607,-9034.3709,23331.5759,132.2190,6.6100,125.1663
0.0300,6.1539,115.1029,-121.3991,311.5878,-271.0311,699.9473,-10386.2607,9034.3709,-23331.5759,141.7288,15.2812,143.2581
0.0400,8.4937,113.0676,-116.1430,138.4835,-120.4583,311.0877,-20772.5215,18068.7417,-46663.1519,147.5771,22.0388,155.9507
0.0500,9.0159,112.6134,-114.9700,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,148.7746,23.6058,158.7604
0.0600,9.8582,110.8298,-116.0109,223.3895,-473.0012,-276.0416,33508.4304,-70950.1815,-41406.2403,152.9653,26.5818,151.9807
0.0700,13.6326,102.8380,-120.6748,502.6265,-1064.2527,-621.0936,16754.2152,-35475.0907,-20703.1201,166.5252,40.3869,120.3652
0.0800,18.9427,91.5944,-127.2366,502.6265,-1064.2527,-621.0936,-16754.2152,35475.0907,20703.1201,171.4556,58.8452,75.0405
0.0900,22.7171,83.6027,-131.9005,223.3895,-473.0012,-276.0416,-33508.4304,70950.1815,41406.2403,165.8540,69.4363,44.4888
0.1000,23.5594,81.8191,-132.9414,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.7062,71.3835,38.0403
0.1100,23.5594,80.9154,-133.4156,0.0000,-239.6532,-125.7565,0.0000,-35947.9788,-18863.4800,163.1604,71.1455,34.9380
0.1200,23.5594,76.8662,-135.5404,0.0000,-539.2197,-282.9522,0.0000,-17973.9894,-9431.7400,159.9394,69.7410,21.5312
0.1300,23.5594,71.1695,-138.5297,0.0000,-539.2197,-282.9522,0.0000,17973.9894,9431.7400,153.4346,66.9046,4.2361
