t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.0000,0.0000,120.4557,-135.2231,66.2171,-35.7471,112.0982,10302.5851,-7093.9140,19843.4607,98.0000,0.0000,157.0000
0.0100,0.6622,120.0983,-134.1021,169.2429,-106.6863,310.5328,11622.2102,-9886.2058,25563.5115,99.5772,1.1509,159.3174
0.0200,3.3849,118.3220,-129.0124,298.6613,-233.4712,623.3684,4596.5407,-7606.1701,16490.2619,106.6439,6.3075,169.7008
0.0300,6.6354,115.4288,-121.6347,261.1737,-258.8097,640.3380,-8981.9262,4634.9617,-14506.5375,116.5861,13.5625,184.3092
0.0400,8.6083,113.1458,-116.2057,119.0228,-140.7720,333.2377,-11021.0961,10278.3952,-25838.4666,123.6528,18.7191,194.6926
0.0500,9.0159,112.6134,-114.9700,40.7518,-53.2418,123.5687,-7827.0940,8753.0246,-20966.8966,125.2300,19.8700,197.0100
0.0600,10.2188,111.6785,-116.8563,296.0969,-328.9269,-460.2506,18680.0643,-38559.5150,-25806.7935,127.9389,23.0631,190.8120
0.0700,14.9378,106.0349,-124.1750,493.8937,-864.6789,-704.7654,5312.7261,-38121.4159,1277.6846,140.0767,37.3705,163.0407
0.0800,20.0966,94.3849,-130.9516,402.3515,-1091.3552,-434.6969,-16037.7075,11819.2269,30263.6368,157.1533,57.4995,123.9693
0.0900,22.9848,84.2078,-132.8689,173.1396,-628.2943,-99.4927,-17244.4645,42624.2315,21372.3099,169.2911,71.8069,96.1980
0.1000,23.5594,81.8191,-132.9414,57.4622,-238.8706,-7.2507,-11567.7390,38942.3714,9224.1967,172.0000,75.0000,90.0000
0.1100,23.5594,81.0746,-133.5559,0.0000,-216.9709,-158.5774,0.0000,-19596.5808,-10849.5107,172.0000,75.0000,87.1040
0.1200,23.5594,77.4796,-136.1130,0.0000,-466.3755,-278.4415,0.0000,-14706.1348,-3809.6150,172.0000,75.0000,74.1280
0.1300,23.5594,71.7471,-139.1248,0.0000,-511.0936,-234.7697,0.0000,9492.5884,8912.2405,172.0000,75.0000,55.8720
