t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.0000,0.0000,120.4557,-135.2231,-0.0000,196.1000,95.1857,15274.0602,-16846.2475,26526.7143,122.8173,0.0000,109.2827
0.0100,-0.0000,122.4167,-134.2712,152.7406,27.6375,360.4528,16637.7824,-20644.4922,30718.5914,119.6678,0.0000,114.9740
0.0200,1.5274,122.6931,-130.6667,332.7556,-216.7898,709.5575,6837.7166,-15981.3646,18613.9243,120.9917,3.2262,126.5147
0.0300,4.8550,120.5252,-123.5711,289.4949,-291.9897,732.7313,-11004.3847,4788.7081,-16543.5693,127.8602,10.8602,145.4886
0.0400,7.7499,117.6053,-116.2438,112.6680,-121.0157,378.6861,-8841.3491,8548.7044,-17702.2594,135.2939,18.4125,163.7858
0.0500,8.8766,116.3952,-112.4569,112.6680,-121.0157,378.6861,0.0000,0.0000,0.0000,137.8828,21.5342,173.5974
0.0600,8.8918,116.8548,-111.8153,316.2676,-209.9204,-355.2367,31881.7113,-37877.4391,-41103.8723,136.3343,21.3293,176.3992
0.0700,12.0545,114.7556,-115.3677,639.1526,-711.5885,-757.9161,8568.3980,-48900.9814,-2536.4515,141.4263,30.2016,161.5354
0.0800,18.4460,107.6397,-122.9469,487.6356,-1187.9400,-405.9657,-24133.5663,1285.1095,39906.0792,150.8964,50.3311,124.0177
0.0900,23.3223,95.7603,-127.0065,156.4812,-685.8863,40.2055,-16557.7156,25102.6850,22308.5578,161.4581,69.6094,85.7220
0.1000,24.8871,88.9014,-126.6045,156.4812,-685.8863,40.2055,0.0000,0.0000,0.0000,168.6057,78.2182,69.8845
0.1100,24.7263,89.4218,-126.1664,-14.1210,-145.1446,-87.5665,183.7648,-23435.6990,-13938.2809,168.9943,77.8228,72.3062
0.1200,24.5851,87.9704,-127.0420,-12.4079,-416.6719,-234.9549,158.5717,-17575.9574,-4755.7478,169.2466,77.4339,66.4346
0.1300,24.4610,83.8037,-129.3916,-10.9496,-496.6637,-182.6815,137.6441,9298.0246,9695.1493,168.7545,76.7673,50.3699
0.1400,24.3515,78.8370,-131.2184,-9.6550,-230.7114,-41.0519,64.7300,13297.6140,7081.4791,168.2865,76.1666,34.0181
0.1500,24.2550,76.5299,-131.6289,-9.6550,-230.7114,-41.0519,0.0000,0.0000,0.0000,168.5943,75.9638,27.4230
0.1600,24.1703,76.9778,-131.4195,-7.4252,315.9590,73.6825,97.2906,28781.9795,8112.2957,168.9956,75.8443,28.9366
0.1700,24.0960,80.1374,-130.6827,-6.5233,620.4301,183.1838,83.1271,10110.3864,9649.5127,169.0765,75.6175,38.3570
0.1800,24.0308,86.3417,-128.8509,-5.7627,518.1667,266.6728,72.0097,-21975.0565,-838.6446,168.2124,75.0014,58.0058
0.1900,23.9732,91.5234,-126.1841,-5.0831,180.9290,166.4109,33.9770,-16861.8841,-5013.0936,167.4611,74.4646,77.5675
0.2000,23.9223,93.3327,-124.5200,-5.0831,180.9290,166.4109,0.0000,0.0000,0.0000,167.7568,74.4179,86.4847
0.2100,23.8778,93.2539,-124.2896,861.2227,379.9010,-340.9456,110251.1145,28873.5255,-24875.6152,168.2656,74.4871,86.9067
0.2200,32.4900,97.0529,-127.6991,2200.5698,569.5907,-474.4723,81281.5334,-39782.9407,33347.1600,145.7190,92.7976,86.8856
0.2300,54.4957,102.7488,-132.4438,2486.8534,-415.7578,325.9976,-69865.8488,-62462.0213,52613.5687,90.9706,127.5160,86.3935
0.2400,79.3643,98.5912,-129.1838,803.2528,-679.6497,577.7991,-84180.0310,-13194.5938,12590.0743,31.0172,165.1692,86.3728
0.2500,87.3968,91.7947,-123.4058,803.2528,-679.6497,577.7991,0.0000,0.0000,0.0000,8.5231,187.4615,85.5645
0.2600,86.4474,91.2218,-122.6550,-81.5175,-209.9582,-77.2487,1235.9263,-18986.2612,-15809.2056,11.7576,189.3821,86.0882
0.2700,85.6322,89.1222,-123.4275,-70.2200,-437.0206,-241.1016,1029.6022,-15047.8766,-5266.7706,14.5801,190.8899,78.5304
0.2800,84.9300,84.7520,-125.8385,-60.9255,-510.9157,-182.5841,863.0164,8141.0674,11072.7198,16.9792,191.3816,60.9498
